sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Residential, LUM_Industrial, LUM_Commercial, LUM_Parkland, LUM_Education, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"20606113826","2113826","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",162.65044003669564,129111.24000194637,21,117337.68132473738,0.0,8800.280812228448,0.0,2973.2778649050742,0.2217000237120342,63.165982616364,0.09407269906615295,-0.23685397381060683,-0.5823308492484655,-0.7251121239929194
"20606113827","2113827","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",178.51032924026362,145649.83500201628,26,98269.05758226309,0.0,47380.777419804246,0.0,0.0,0.39194088991364573,72.0716209719156,0.35940341854546215,-0.10481627367833818,0.2273798767061632,0.4819670215732872
"20601110509","2110509","21105","Brunswick","20601","Brunswick - Coburg","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",183.07327100778934,234878.63500385292,43,138663.88511852134,57867.65888787086,38347.090997649706,0.0,0.0,0.5916191072631252,52.31754310374236,0.4357399305210582,-0.3976962341947439,1.177102454691041,1.2151461510173551
"20606113828","2113828","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",130.3598952267756,168763.56000231928,22,161862.38792074803,0.0,0.0,0.0,6901.172081613535,0.10610562490299082,42.35324086110621,-0.44613747370526247,-0.5454300067794261,-1.1321284781275025,-2.123695958612191
"20606113829","2113829","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",105.58134394389718,189427.40500279493,20,189427.40500264443,0.0,0.0,0.0,0.0,0.0,49.72027078455944,-0.8606744704745736,-0.4362041827494183,-1.6367949808597173,-2.933673634083709
"20606113830","2113830","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",143.07219398905292,104842.17500115861,15,98336.19761220203,0.0,0.0,0.0,6505.977389013395,0.1445130520854952,45.98270468048277,-0.23346490496675162,-0.4916184734237043,-0.949452564641691,-1.674535943032147
"20606113831","2113831","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",99.2871959431248,141005.09000193432,14,140556.18086580455,0.0,0.0,0.0,448.9091362217441,0.01334852669557245,47.716560953585436,-0.965973492183911,-0.4659117935069671,-1.5733058464218288,-3.005191132112707
"20606113832","2113832","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",115.10100208807195,130320.32500049335,15,127391.73263154864,0.0,0.0,0.0,2928.5923689715564,0.0668001661211763,22.633356854445424,-0.701413727087872,-0.8378029987156477,-1.3190756681547904,-2.85829239395831
"20607113901","2113901","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",134.7044903384041,178167.78000278457,24,52722.551953988834,77267.46482804418,39000.35018174678,1166.4891187283793,8010.923920242116,0.7627390730157468,54.051598134396436,-0.3734538293229708,-0.3719866074381594,1.9909944113426035,1.2455539745814732
"20607113902","2113902","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",199.9509305573775,135033.1300021239,27,22530.666187318275,6894.226974196936,5657.235955997137,33360.90655552209,66590.09432920336,0.7938321811917262,47.2970997018116,0.7180976124657474,-0.47213085347410516,2.1388814830844867,2.3848482420761288
"20607113903","2113903","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",137.76356465756527,283093.7200045681,39,165363.53667167082,28097.007039276963,77677.49340377268,8067.2475929493085,3888.435296774609,0.6576534118796687,58.72420660332395,-0.32227652413340413,-0.30270909456103384,1.4911791268905885,0.8661935081961505
"20607113904","2113904","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",172.83244991243984,173578.5150022381,30,60954.66454291445,96981.25299477986,15642.597464482562,0.0,0.0,0.5651733488280095,83.00262106235861,0.2644143686327263,0.05725005491763341,1.0513194112967543,1.3729838348471142
"20607113905","2113905","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",157.0265568040849,273839.030003372,43,127611.43470123314,11643.646340761316,122513.20987131802,0.0,6052.960640974226,0.5796853365863766,61.61067970584811,-1.3013969001078891E-5,-0.2599133673223054,1.1203422752250678,0.8604158939337614
"20601110510","2110510","21105","Brunswick","20601","Brunswick - Coburg","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",140.97280082419454,127684.20500098867,18,98693.15259109167,10031.479748300946,18959.572661567014,0.0,0.0,0.42382981887193655,68.17799998666692,-0.26858706072408844,-0.16254428143631,0.3790520832265082,-0.05207925893389026
"20607113906","2113906","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",135.0991503310008,140637.45000208286,19,60551.77251119664,0.0,45938.96533723803,28242.08260734286,0.0,0.6547842950766524,50.31454864105101,-0.3668512977137447,-0.42739323868477785,1.4775328461751944,0.6832883097766719
"20607113907","2113907","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",141.239202655589,269047.11500434333,38,168862.26705283203,3383.431105818552,75468.7704773802,18969.35181196849,2363.294556496163,0.5794113721113048,63.86812733048872,-0.26413024588211614,-0.2264437629406287,1.1190392274966015,0.6284652186738566
"20607113908","2113908","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",121.47649824405522,57624.31500072125,7,0.0,0.0,27922.85631922027,25115.282493885374,0.0,0.42980562536836214,25.234597238498786,-0.5947537775515253,-0.7992362184255546,0.4074746043540431,-0.9865153916230367
"20607113909","2113909","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",139.87415172689532,171582.81000238034,24,127964.31299923513,25071.17136166725,0.0,1377.5421444149579,17169.783497001627,0.47772287444318273,65.2350172587865,-0.28696709804339804,-0.20617783755035143,0.6353817537935498,0.14223681819980027
"20607113910","2113910","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",136.84967352834227,219218.6450031015,30,105734.48469778887,61773.780410841704,39760.340241983555,557.8533393065445,11392.186313248472,0.7375933268640232,64.27203753000582,-0.3375656215369312,-0.22045526759925232,1.8713945712720637,1.3133736821358801
"20607113911","2113911","21139","Abbotsford","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",137.21122923120808,269657.23000449967,37,163257.69206917196,15742.676153380562,75255.53565507698,8770.102073334623,6631.224053386808,0.6389663575181013,61.72524503543734,-0.3315169137848208,-0.25821478693649547,1.4022985385179996,0.8125668377966833
"20607114001","2114001","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",125.69206574917114,238678.55000384408,30,220819.5235053276,0.0,673.9215705008246,10478.277913637761,6706.827014336537,0.20263324106091232,70.96265892073984,-0.5242287225029458,-0.12125808199407029,-0.6730175261112086,-1.3185043306082247
"20607114002","2114002","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",103.33192846315707,261293.87500618293,27,257290.85284859306,0.0,314.0489776879822,3688.9731798171997,0.0,0.05183843872801357,62.74129409618381,-0.8983064501342045,-0.2431505348473811,-1.3902376131058103,-2.531694598087396
"20607114012","2114012","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",115.90641043962403,172553.0100029977,20,107589.03593548658,0.0,0.0,56879.64916725321,8084.3249003122455,0.4994034116073558,56.431717600973634,-0.6879395108024341,-0.3366982330555428,0.7385001405708999,-0.28613760328707694
"20607114013","2114013","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",95.63917405277682,104559.66500172485,10,25986.992136686582,0.0,0.0,78572.6728651824,0.0,0.34839657331734764,55.68440063429508,-1.0270036961417384,-0.3477781814669386,0.02027155430940511,-1.3545103232992717
"20601110511","2110511","21105","Brunswick","20601","Brunswick - Coburg","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",137.40532093303813,174665.72500271618,24,109789.52602177052,28261.265957528198,30076.84486098268,6538.0881623332825,0.0,0.6290646617900045,46.05429377231507,-0.3282698235794274,-0.49055707179669994,1.3552034466339855,0.5363765512578582
"20607114014","2114014","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",156.21702627226225,288060.7900035936,45,263061.910747025,0.0,1583.3368131739353,20328.72449365398,3086.8179498225218,0.2157314827393374,67.2233863704835,-0.01355619297183097,-0.1766976729578996,-0.6107188136175432,-0.8009726795472738
